app_name,bundle_id,category_zh,category_en,action_en,action_zh_original,action_zh_final,status,key,is_default_suggested,is_default_current_algo,default_eligible,single_key,dup_group,item_id
Rive,app.rive.editor,工具,Tools,Select Tool,选择Tool,选择Tool,待翻译,V,,,,✓,,remote.rive.tools.07d0ec5ba4
Rive,app.rive.editor,工具,Tools,Translate Tool,Translate Tool,Translate Tool,待翻译,Q,,,,✓,,remote.rive.tools.c1d986f600
Rive,app.rive.editor,工具,Tools,Rotate Tool,Rotate Tool,Rotate Tool,待翻译,W,,,,✓,,remote.rive.tools.ed502b074b
Rive,app.rive.editor,工具,Tools,Scale Tool,Scale Tool,Scale Tool,待翻译,E,,,,✓,,remote.rive.tools.2487cdd76c
Rive,app.rive.editor,工具,Tools,Rectangle Tool,Rectangle Tool,Rectangle Tool,待翻译,R,,,,✓,,remote.rive.tools.6b5ab1041f
Rive,app.rive.editor,工具,Tools,Ellipse Tool,Ellipse Tool,Ellipse Tool,待翻译,O,,,,✓,,remote.rive.tools.d14c45445d
Rive,app.rive.editor,工具,Tools,Pen Tool,Pen Tool,Pen Tool,待翻译,P,,,,✓,,remote.rive.tools.df8fe706c6
Rive,app.rive.editor,工具,Tools,Artboard Tool,画板 Tool,画板 Tool,待翻译,A,,,,✓,,remote.rive.tools.9102217573
Rive,app.rive.editor,工具,Tools,Bone Tool,Bone Tool,Bone Tool,待翻译,B,,,,✓,,remote.rive.tools.574fff53dd
Rive,app.rive.editor,工具,Tools,Group Tool,编组 Tool,编组 Tool,待翻译,G,,,,✓,,remote.rive.tools.dda3ef69ee
Rive,app.rive.editor,工具,Tools,Freeze,Freeze,Freeze,待翻译,Y,,,,✓,,remote.rive.tools.9df50d6de7
Rive,app.rive.editor,编辑器,Editor,Switch Mode,Switch 模式,Switch 模式,待翻译,⇥,,,,✓,,remote.rive.editor.e8214265ab
Rive,app.rive.editor,编辑器,Editor,Select Behind,选择Behind,选择Behind,待翻译,⌥58,,,✓,,,remote.rive.editor.2a73d32fe2
Rive,app.rive.editor,编辑器,Editor,Edit Vertices,编辑 Vertices,编辑 Vertices,待翻译,36,,,,✓,,remote.rive.editor.a3550e777c
Rive,app.rive.editor,编辑器,Editor,Group selection,编组选择,编组选择,原本已是中文,⌘G,✓,✓,✓,,,remote.rive.editor.e437c3fcf0
Rive,app.rive.editor,编辑器,Editor,Ungroup selection,Ungroup 选择,Ungroup 选择,待翻译,⇧⌘G,✓,✓,✓,,,remote.rive.editor.2100bf62c3
Rive,app.rive.editor,编辑器,Editor,Convert to Solo,Convert to Solo,Convert to Solo,待翻译,⌘L,,,✓,,,remote.rive.editor.35b02210e4
Rive,app.rive.editor,编辑器,Editor,Duplicate,创建副本,创建副本,原本已是中文,⌘D,✓,,✓,,,remote.rive.editor.cbbe72094e
Rive,app.rive.editor,编辑器,Editor,Layer forward,图层向前,图层向前,原本已是中文,⌘30,,,✓,,,remote.rive.editor.48cab712cc
Rive,app.rive.editor,编辑器,Editor,Layer backward,图层向后,图层向后,原本已是中文,⌘[,,,✓,,,remote.rive.editor.a2fea77a25
Rive,app.rive.editor,编辑器,Editor,Layer to top,Layer to top,Layer to top,待翻译,⌥⌘30,✓,✓,✓,,,remote.rive.editor.ec560f01bc
Rive,app.rive.editor,编辑器,Editor,Layer to bottom,Layer to bottom,Layer to bottom,待翻译,⌥⌘[,,✓,✓,,,remote.rive.editor.f171e5f235
Rive,app.rive.editor,编辑器,Editor,Move timeline playhead,移动timeline 播放头,移动timeline 播放头,待翻译,",",,,,✓,,remote.rive.editor.1d2820004a
Rive,app.rive.editor,编辑器,Editor,Move selected keys,移动selected keys,移动selected keys,待翻译,"⌥,",,,✓,,,remote.rive.editor.73a7a75df8
Rive,app.rive.editor,编辑器,Editor,Skip to keys,Skip to keys,Skip to keys,待翻译,"⌘,",,,✓,,,remote.rive.editor.3956e8d5c5
Rive,app.rive.editor,编辑器,Editor,Color Picker,颜色 Picker,颜色 Picker,待翻译,⌃C,,,✓,,,remote.rive.editor.e5c750dbe8
Rive,app.rive.editor,编辑器,Editor,Search,搜索,搜索,已重译,⌘K,✓,✓,✓,,,remote.rive.editor.fa1f914ea0
Rive,app.rive.editor,编辑器,Editor,Reveal keys for selection,Reveal keys for selection,Reveal keys for selection,待翻译,U,,,,✓,,remote.rive.editor.45fa429ce2
Rive,app.rive.editor,编辑器,Editor,Play default State Machine,Play default State Machine,Play default State Machine,待翻译,⇧Space,,,✓,,,remote.rive.editor.d7c70ad1b1
Rive,app.rive.editor,视图,View,Fit selection to screen,Fit selection to screen,Fit selection to screen,待翻译,F,,,,✓,,remote.rive.view.31e46b88aa
Rive,app.rive.editor,视图,View,Zoom in,放大,放大,已重译,=,,,,✓,,remote.rive.view.841ff07caa
Rive,app.rive.editor,视图,View,Zoom out,缩小,缩小,已重译,-,,,,✓,,remote.rive.view.4c1f2e4aab
Rive,app.rive.editor,视图,View,Zoom,缩放,缩放,原本已是中文,Z,,,,✓,,remote.rive.view.7ebd1b954f
Rive,app.rive.editor,视图,View,Pan,Pan,Pan,待翻译,Space,,,,✓,,remote.rive.view.204f50dad6
Rive,app.rive.editor,层级,Hierarchy,Select parent,选择parent,选择parent,待翻译,⎋,,,,✓,,remote.rive.hierarchy.4915199e01
Rive,app.rive.editor,层级,Hierarchy,Select 1st child,选择1st child,选择1st child,待翻译,36,,,,✓,,remote.rive.hierarchy.ec148e828f
Rive,app.rive.editor,层级,Hierarchy,Rename,重命名,重命名,原本已是中文,⌘R,✓,✓,✓,,,remote.rive.hierarchy.f438823733
